Aditivos que faltan por resolvr sus datos de aliases.

TOTAL_UNRESOLVED	14
E106	Riboflavin-5-Sodium Phosphate
E1411	Distarch glycerol
E1421	Starch acetate esterified with vinyl acetate
E1423	Acetylated distarch glycerol
E1443	Hydroxy propyl distarch glycerol
E497	Polyoxypropylene-polyoxyethylene polymers
E498	Ésteres parciales de poliglicerol de ácidos grasos policondensados del aceite de ricino
E563	Sepiolitic clay
E565	Lignosulfonates
E566	Natrolite-phonolite
E598	Synthetic calcium aluminates
E701	Tetracyclines
E710	Spiramycins
E711	Virginiamycins
